2023-10-16/18:38:13		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:14		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:14		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:14		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:14		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:14		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:14		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:14		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:15		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:15		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:15		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:15		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:15		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:15		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:16		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:16		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:16		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:16		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:16		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:16		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:17		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:17		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:17		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:17		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:17		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:17		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:17		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:18		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:18		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:18		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:18		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:18		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:18		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-10-16/18:38:22		 wafer_21012020_080913.csv: File loaded successfully!!
